search,2,1,22:32:17,22:32:33
summary,2,1,22:32:44,22:33:07
summary,2,1,22:33:13,22:33:24
search,4,1,22:33:33,22:33:50
summary,4,1,22:34:01,22:34:24
summary,4,1,22:34:30,22:34:39
search,6,1,22:34:49,22:35:05
summary,6,1,22:35:16,22:35:40
summary,6,1,22:35:46,22:35:55
search,2,2,22:36:05,22:36:21
summary,2,2,22:36:32,22:36:55
summary,2,2,22:37:01,22:37:12
search,4,2,22:37:21,22:37:42
summary,4,2,22:37:52,22:38:15
summary,4,2,22:38:21,22:38:31
search,6,2,22:38:41,22:38:57
summary,6,2,22:39:08,22:39:31
summary,6,2,22:39:37,22:39:45
search,2,3,22:39:54,22:40:15
summary,2,3,22:40:26,22:40:50
summary,2,3,22:40:56,22:41:07
search,4,3,22:41:16,22:41:33
summary,4,3,22:41:43,22:42:06
summary,4,3,22:42:12,22:42:21
search,6,3,22:42:30,22:42:46
summary,6,3,22:42:57,22:43:20
summary,6,3,22:43:27,22:43:37
search,2,4,22:43:46,22:44:02
summary,2,4,22:44:14,22:44:37
summary,2,4,22:44:43,22:44:54
search,4,4,22:45:03,22:45:19
summary,4,4,22:45:30,22:45:53
summary,4,4,22:45:59,22:46:09
search,6,4,22:46:18,22:46:35
summary,6,4,22:46:46,22:47:09
summary,6,4,22:47:15,22:47:25
